iter	Passed	Remaining
0	148	148761
1	151	75531
2	153	51031
3	155	38796
4	159	31798
5	162	26864
6	164	23331
7	166	20687
8	170	18752
9	172	17109
10	175	15751
11	178	14694
12	181	13777
13	184	12959
14	187	12323
15	189	11628
16	191	11069
17	192	10524
18	195	10094
19	198	9704
20	200	9340
21	204	9073
22	207	8823
23	210	8559
24	213	8335
25	215	8091
26	217	7845
27	220	7638
28	222	7440
29	223	7230
30	225	7033
31	226	6843
32	227	6677
33	229	6520
34	231	6370
35	232	6238
36	234	6098
37	235	5967
38	236	5839
39	238	5716
40	239	5603
41	241	5507
42	243	5408
43	244	5312
44	246	5232
45	247	5143
46	249	5053
47	250	4970
48	252	4893
49	253	4817
50	254	4743
51	256	4677
52	258	4610
53	259	4545
54	260	4482
55	262	4421
56	263	4363
57	265	4306
58	266	4250
59	267	4198
60	269	4143
61	270	4092
62	271	4040
63	272	3991
64	274	3942
65	275	3897
66	276	3853
67	277	3802
68	278	3761
69	280	3723
70	281	3684
71	282	3645
72	284	3609
73	285	3572
74	286	3537
75	288	3503
76	289	3470
77	290	3435
78	291	3403
79	293	3370
80	294	3338
81	295	3309
82	296	3280
83	298	3250
84	298	3217
85	300	3194
86	301	3163
87	302	3136
88	303	3110
89	305	3085
90	306	3060
91	307	3034
92	308	3010
93	309	2987
94	311	2965
95	312	2944
96	314	2923
97	315	2907
98	317	2888
99	318	2869
100	320	2851
101	321	2826
102	322	2807
103	323	2789
104	325	2773
105	326	2756
106	328	2738
107	329	2720
108	330	2703
109	332	2692
110	334	2678
111	336	2667
112	338	2656
113	340	2649
114	343	2641
115	345	2631
116	347	2623
117	349	2615
118	351	2605
119	354	2598
120	356	2591
121	359	2589
122	361	2576
123	363	2569
124	366	2563
125	368	2557
126	371	2552
127	372	2540
128	375	2534
129	378	2530
130	380	2524
131	384	2525
132	386	2520
133	389	2515
134	391	2510
135	395	2509
136	397	2505
137	399	2497
138	402	2491
139	404	2485
140	407	2480
141	409	2475
142	412	2470
143	414	2465
144	417	2461
145	420	2456
146	422	2451
147	424	2445
148	427	2441
149	429	2436
150	432	2432
151	435	2428
152	437	2423
153	440	2419
154	442	2414
155	445	2410
156	448	2405
157	450	2400
158	453	2398
159	456	2394
160	458	2389
161	461	2385
162	463	2382
163	466	2378
164	468	2372
165	471	2371
166	474	2365
167	476	2361
168	479	2356
169	481	2351
170	484	2347
171	486	2342
172	489	2337
173	491	2332
174	493	2327
175	496	2323
176	499	2320
177	501	2316
178	504	2312
179	506	2308
180	508	2299
181	510	2293
182	512	2289
183	515	2285
184	517	2281
185	520	2277
186	523	2274
187	525	2271
188	528	2267
189	530	2262
190	533	2259
191	535	2255
192	538	2250
193	540	2247
194	543	2243
195	545	2239
196	548	2236
197	551	2233
198	554	2230
199	557	2229
200	559	2225
201	562	2222
202	565	2219
203	568	2216
204	570	2213
205	573	2209
206	576	2207
207	578	2202
208	580	2198
209	583	2194
210	586	2192
211	588	2189
212	591	2185
213	593	2181
214	596	2178
215	599	2175
216	602	2172
217	604	2170
218	607	2166
219	610	2165
220	613	2161
221	615	2157
222	618	2153
223	620	2150
224	623	2146
225	626	2144
226	628	2140
227	631	2137
228	633	2133
229	635	2128
230	638	2126
231	641	2122
232	643	2118
233	646	2114
234	648	2112
235	651	2108
236	653	2105
237	656	2101
238	659	2100
239	662	2096
240	665	2096
241	668	2093
242	670	2089
