iter	Passed	Remaining
0	1	1667
1	3	1517
2	4	1477
3	5	1467
4	7	1455
5	9	1590
6	11	1585
7	12	1590
8	14	1603
9	16	1594
10	17	1580
11	19	1567
12	20	1542
13	21	1534
14	23	1562
15	25	1568
16	26	1560
17	28	1556
18	30	1552
19	31	1540
20	32	1525
21	33	1511
22	35	1501
23	37	1527
24	39	1553
25	73	2750
26	74	2688
27	75	2638
28	77	2590
29	78	2544
30	80	2503
31	81	2464
32	82	2428
33	84	2394
34	85	2366
35	87	2349
36	89	2320
37	90	2291
38	91	2261
39	93	2237
40	94	2218
41	96	2198
42	97	2178
43	99	2155
44	101	2144
45	102	2132
46	104	2117
47	106	2105
48	107	2093
49	109	2076
50	110	2058
51	111	2039
52	113	2025
53	114	2010
54	116	2009
55	118	2000
56	120	1989
57	122	1982
58	123	1971
59	125	1959
60	126	1947
61	127	1934
62	129	1922
63	131	1916
64	132	1911
65	134	1902
66	135	1890
67	137	1880
68	138	1869
69	139	1857
70	141	1847
71	142	1836
72	143	1828
73	146	1827
74	147	1824
75	149	1819
76	151	1814
77	152	1808
78	154	1801
79	155	1792
80	157	1783
81	158	1775
82	160	1771
83	162	1770
84	164	1767
85	165	1763
86	167	1756
87	168	1749
88	170	1742
89	171	1734
90	172	1727
91	174	1719
92	176	1720
93	178	1716
94	179	1713
95	181	1711
96	183	1705
97	184	1698
98	185	1691
99	187	1685
100	188	1678
101	191	1683
102	193	1685
103	194	1679
104	196	1674
105	197	1669
106	199	1664
107	201	1660
108	202	1655
109	205	1659
110	207	1657
111	209	1658
112	210	1655
113	212	1652
114	214	1649
115	215	1645
116	217	1641
117	219	1638
118	221	1639
119	223	1636
120	224	1633
121	226	1628
122	227	1622
123	229	1617
124	230	1612
125	231	1607
126	233	1602
127	235	1602
128	236	1598
129	238	1593
130	239	1588
131	241	1584
132	242	1579
133	243	1574
134	244	1569
135	246	1564
136	247	1561
137	249	1561
138	251	1558
139	253	1555
140	254	1551
141	256	1547
142	257	1542
143	258	1538
144	260	1534
145	261	1530
146	262	1525
147	265	1526
148	266	1522
149	267	1518
150	269	1514
151	270	1509
152	272	1506
153	273	1503
154	274	1494
155	275	1491
156	277	1487
157	278	1484
158	280	1483
159	281	1479
160	283	1475
161	284	1471
162	285	1467
163	287	1463
164	288	1459
165	289	1456
166	291	1452
167	291	1443
168	292	1439
169	294	1439
170	296	1436
171	297	1432
172	298	1429
173	300	1425
174	301	1421
175	302	1418
176	304	1415
177	305	1412
178	307	1408
179	309	1408
180	310	1406
181	312	1402
182	313	1398
183	314	1395
184	316	1392
185	317	1389
186	319	1388
187	320	1384
188	321	1381
189	323	1380
190	325	1379
191	327	1377
192	328	1375
193	330	1373
194	332	1371
195	333	1368
196	335	1367
197	337	1365
198	339	1366
199	340	1363
200	342	1360
201	343	1357
202	345	1354
203	346	1351
204	348	1349
205	349	1347
206	351	1346
207	353	1344
208	354	1343
209	356	1340
210	357	1338
211	359	1335
212	360	1332
213	361	1329
214	363	1326
215	364	1323
216	365	1320
217	367	1317
218	369	1317
219	370	1314
220	372	1311
221	373	1308
222	428	1492
223	431	1493
224	437	1506
225	441	1510
226	444	1515
227	449	1520
228	454	1531
229	458	1534
230	463	1542
231	469	1554
232	471	1552
233	472	1547
234	474	1543
235	475	1539
236	476	1535
237	480	1536
238	481	1533
239	483	1529
240	484	1525
241	485	1521
242	487	1517
243	488	1513
244	489	1508
245	491	1505
246	493	1504
247	495	1501
248	497	1499
249	498	1496
250	500	1492
251	501	1489
252	503	1487
253	505	1485
254	508	1484
255	510	1482
256	512	1480
257	513	1477
258	515	1473
259	517	1472
260	518	1469
261	520	1467
262	523	1468
263	526	1466
264	527	1464
265	529	1461
266	531	1458
267	532	1454
268	534	1451
